工单编号,故障发生时间,涉及基站eNBID或小区ECGI,故障原因定位（大类）
98,2019/2/5 13:53,3938C4856732D0598ACC9885AB524638,电力故障
99,2019/2/5 14:00,AB42325A39B96494E77D926AA86D2308,电力故障
100,2019/2/5 14:06,D9D3889C9C72687D8C706F8A81422538,电力故障
101,2019/2/5 14:10,F9C0D47995C64B45EDADA8AF2F9D28AD,电力故障
102,2019/2/5 14:16,F2E2FB48B64C4280D401940DA5D9C1A0,电力故障
103,2019/2/5 14:24,25FA323C1B9B83AF496D28634770EF0D,电力故障
104,2019/2/5 14:29,A44F8E5DAC2C7FBA9D21DCBACD123D26,硬件故障
105,2019/2/5 14:32,A44F8E5DAC2C7FBA9D21DCBACD123D26,硬件故障
106,2019/2/5 14:57,53E5DCA12B1B7FEFEEB61BF011E07F53,硬件故障
107,2019/2/5 14:57,53E5DCA12B1B7FEFEEB61BF011E07F53,硬件故障
108,2019/2/5 15:05,C721C42F27B892851EA70BE3A2ED1468,电力故障
109,2019/2/5 15:05,35F1C21152F5C1FF542BB904679D6699,电力故障
110,2019/2/5 15:05,2F96313AB435DD27A30DCA7B6F3B9F4D,电力故障
111,2019/2/5 15:16,A3AC1DAE0F760FBEF686BC410B16DE4B,电力故障
112,2019/2/5 15:43,6EA4A5C2D5B2429BBE1E98BEEC488A77,电力故障
113,2019/2/5 15:57,ECF55FA3192A6D892AAC9A375C8C94B3,电力故障
114,2019/2/5 15:59,2652FF67266A51607AE4BD538762F424,电力故障
115,2019/2/5 16:04,D77F0E413E72F7C6339F495A24284B2C,电力故障
116,2019/2/5 16:06,534B29BEBBB46B8BBCB6E3F7028FC3BB,电力故障
117,2019/2/5 16:08,729EDFD747D0B25C373562E168D993D0,电力故障
118,2019/2/5 16:17,0995DD64217DD7681CB78C55991F557C,电力故障
119,2019/2/5 16:17,5D12B954D6D2A6E742C0D3E4D856C65F,电力故障
120,2019/2/5 16:17,5D12B954D6D2A6E742C0D3E4D856C65F,电力故障
121,2019/2/5 16:29,65291F591FD977F4FDFBA925ECE908E6,电力故障
122,2019/2/5 16:30,4107B8FDA157C4AE0EE2DD9A25D6B44C,传输故障
123,2019/2/5 16:32,407B1352DB177A987B44649BE92C6EEA,传输故障
124,2019/2/5 16:45,95B4BF151CB88D4C7B77ED713879B3B6,电力故障
125,2019/2/5 16:59,EE9A33FA60F26ABAE8866E91FB677AF7,电力故障
126,2019/2/5 17:04,270EE44A55189F8ABD9CAA61839D9174,电力故障
127,2019/2/5 17:04,7E2E81929FBAE08AC7C86B2AA3BA25DD,电力故障
128,2019/2/5 17:36,57AB8631D5D8DF4B80F8105C0A4BD57B,电力故障
129,2019/2/5 17:44,7D4B3A3CF8E456D8DB1194F0869E05E0,传输故障
130,2019/2/5 17:47,45A84E05E45394123A870D84F9467950,电力故障
131,2019/2/5 17:50,791904EF09FDD253906559A4625ACB2E,传输故障
132,2019/2/5 17:53,35F1C21152F5C1FF542BB904679D6699,电力故障
133,2019/2/5 18:02,7A38B415782643E7A2C91496348CAC8A,硬件故障
134,2019/2/5 18:08,97EB744260DFC868A3221C45041FA513,电力故障
135,2019/2/5 18:16,27BA4D73CAC2AD146BCF11E11C113513,电力故障
136,2019/2/5 18:17,4D9C8A1F68B1AD2217B988808E92C64A,电力故障
137,2019/2/5 18:46,3171DCD4CDDA3F3A063F6548BEC234C6,电力故障
138,2019/2/5 18:46,5538894EE5E2E9EFBB11336AFEBFB83D,电力故障
139,2019/2/5 18:46,75E4FE22E1CC65BBC4EAF86DB72C5A60,电力故障
140,2019/2/5 19:04,42C6FED39C993533FEDF70E4CBE16F21,电力故障
141,2019/2/5 19:28,5386AF932F6CF4473473E5D9CB9DDAE9,电力故障
142,2019/2/5 19:29,5386AF932F6CF4473473E5D9CB9DDAE9,电力故障
143,2019/2/5 19:45,4849B44F4919F06F4F396748AE22C938,电力故障
144,2019/2/5 19:46,4849B44F4919F06F4F396748AE22C938,电力故障
145,2019/2/5 20:46,A7A097F1E1F3BD6FA92E09DC69CDE93B,电力故障
146,2019/2/5 20:50,2C31A69D9A8A90F1AFF32B08B4CED2C0,电力故障
147,2019/2/5 21:04,7E1CC0DE414EE60757929A2240837096,硬件故障
148,2019/2/5 21:12,A1EA00B7B210552EE656EB958AE18C74,电力故障
149,2019/2/5 21:13,F899B7F8FDE5DE8FDE5BBF0D45BE7488,电力故障
150,2019/2/5 21:13,5D0BADCC721DE78162DCD67C16B68B60,电力故障
151,2019/2/5 21:17,8C15AE696E1F4206C87FEB69D06E72E8,电力故障
152,2019/2/5 21:26,767DE62C91BB71BB06BABF7944B5BDF5,电力故障
153,2019/2/5 21:28,A3A893821E6882D8E3AB3651D9122A5B,电力故障
154,2019/2/5 21:29,FCF9F084065B0B5FFAB2AD6E43713A59,电力故障
155,2019/2/5 21:29,F5D55765A7F6BFB8BCF3E493420999A4,电力故障
156,2019/2/5 21:32,2802418B481ED568FB9159CDEF2A16A4,电力故障
157,2019/2/5 21:39,AEC0BD82CDEC36D9C360E9F0A73EE9D9,电力故障
158,2019/2/5 21:40,BCA98A0104D0B62F2109F603C60F32BB,动环故障
159,2019/2/5 21:40,2FCCE14878CC70B962EE5374D0B75F7C,电力故障
160,2019/2/5 22:07,9F3303351B597134E46A6FF5D3A8D121,电力故障
161,2019/2/5 22:11,1C3D54CE8F3ED0AEBFAD99F82EEF0F17,传输故障
162,2019/2/5 22:29,368D2B990448826FBDDFEDAFE4F4ED26,电力故障
163,2019/2/5 22:37,DF2557F9DBBD6CC2B9F754D2A49B6A9B,电力故障
164,2019/2/5 23:11,19872592D62147A11B7B2692DD981239,电力故障
165,2019/2/5 23:31,26393FB114F9E9FD52DDBA2C3925C6A3,电力故障
166,2019/2/5 23:53,AEAAB5FC771E204FEC8B281EF7D6A1DF,硬件故障
167,2019/2/6 0:00,8F83F79ADD205B8294FAA51BD90A3E08,电力故障
168,2019/2/6 0:29,3171DCD4CDDA3F3A063F6548BEC234C6,电力故障
169,2019/2/6 0:33,12FE0EFA9464D70AEEEC254289578627,电力故障
170,2019/2/6 0:34,B11E454954DF82712EE996377F128D66,电力故障
171,2019/2/6 1:04,97EB744260DFC868A3221C45041FA513,硬件故障
172,2019/2/6 1:05,31C9EE765E2CF3A3FA9A8CAAC7F5C820,电力故障
173,2019/2/6 1:05,31C9EE765E2CF3A3FA9A8CAAC7F5C820,电力故障
174,2019/2/6 1:05,31C9EE765E2CF3A3FA9A8CAAC7F5C820,硬件故障
175,2019/2/6 1:12,C1D6AF21D8C6A91C724B88E5700041AE,电力故障
176,2019/2/6 1:12,C1D6AF21D8C6A91C724B88E5700041AE,电力故障
177,2019/2/6 1:22,D4178161580B18718C7725B6898F72DC,电力故障
178,2019/2/6 1:32,D75EC5AC2DE1845316E2CDF96F5D155E,电力故障
179,2019/2/6 1:38,A819CCF7B64E1077198FEAB90B1CB8B1,电力故障
180,2019/2/6 1:38,A77F4AA8EED92F4C41D7D602D33D8867,电力故障
181,2019/2/6 1:38,E0C3A3E10FC493B33082930CDC1F2496,传输故障
182,2019/2/6 1:38,A77F4AA8EED92F4C41D7D602D33D8867,电力故障
183,2019/2/6 1:53,08B9BC21C98BBB13D78DA1F572F5516F,电力故障
184,2019/2/6 2:04,443759EFE2CB58ECFC14B9B15589EE15,硬件故障
185,2019/2/6 2:04,CDCCC2394BF475E63812B0475BB89247,硬件故障
186,2019/2/6 2:07,8C52CDF61ECAA6586731A88ECF91D6F2,传输故障
187,2019/2/6 2:42,169FE816B5C560C6E0A8B3A35642FF91,电力故障
188,2019/2/6 2:42,169FE816B5C560C6E0A8B3A35642FF91,电力故障
189,2019/2/6 3:55,A1B38228118BCB510C803669BA95DB06,硬件故障
190,2019/2/6 4:00,BC73E82D4301B77E018285C6DDC9EBF0,硬件故障
191,2019/2/6 4:04,45A84E05E45394123A870D84F9467950,电力故障
192,2019/2/6 4:14,ED538DA48FE1D35B7B70616990865E82,电力故障
193,2019/2/6 4:57,5C4AB51045546A015783C99B9AF801D4,电力故障
194,2019/2/6 5:04,86BF42ECE8B27DFC814960D38FFE0786,电力故障
195,2019/2/6 5:19,7DE7BBBD426063703715E8C70437CFF3,电力故障
196,2019/2/6 5:42,AEAAB5FC771E204FEC8B281EF7D6A1DF,硬件故障
197,2019/2/6 5:57,BE8373AF3F1040FA2BAF1C5FD907C23B,电力故障
198,2019/2/6 5:57,BE8373AF3F1040FA2BAF1C5FD907C23B,硬件故障
199,2019/2/6 6:19,56AACF113D47F031016A41943FA8209C,电力故障
200,2019/2/6 6:24,E25D0164521BAEB32A7FA076308E00A8,电力故障
201,2019/2/6 6:25,8A146E5B63673F197058FF8130AD80BB,电力故障
202,2019/2/6 6:26,B24CFF4FE4117908B51D19D3E95BCD43,电力故障
203,2019/2/6 6:51,280D150B6243E0237F9934526E2D5569,电力故障
204,2019/2/6 6:54,1F46E10053E968BA3EFD99F7516E2F98,电力故障
205,2019/2/6 6:54,8ECE188B8511E7C6C010D5633036E4B2,电力故障
206,2019/2/6 6:54,1F46E10053E968BA3EFD99F7516E2F98,电力故障
207,2019/2/6 6:54,8ECE188B8511E7C6C010D5633036E4B2,电力故障
208,2019/2/6 6:54,62C7726135BDC9D8EDADC58E9FF142AC,电力故障
209,2019/2/6 6:55,6A7E38DF4221E18EA460922EB8880148,电力故障
210,2019/2/6 7:11,7E1CC0DE414EE60757929A2240837096,硬件故障
211,2019/2/6 7:12,ADFE7F5F060E6353D74B6AFAE40F701F,电力故障
212,2019/2/6 7:14,71F6E85236DD4F6638BF3AF25D622983,电力故障
213,2019/2/6 7:23,9F436ADC741DBD10DC1CC78A189DBB62,电力故障
214,2019/2/6 7:37,1C495BF8287CA78EB3C814EBD5F30C4F,电力故障
215,2019/2/6 7:37,E6BDE688927C5DC36BDB7FEAFF07A730,电力故障
216,2019/2/6 7:39,E0549BC2FC8B2ADE8B0943F06E7ECC8E,电力故障
217,2019/2/6 7:40,FE1F6AB446CF866CEC631B9587BDBBC7,电力故障
218,2019/2/6 7:40,8FB81FF7057403B3481E529A4F35AFD4,电力故障
219,2019/2/6 7:41,58879B89D84D0FCED853AA3E5554B6D7,电力故障
220,2019/2/6 7:41,B5726BAE1A1527385035941025D750AB,电力故障
221,2019/2/6 7:41,8D14AF8FF16220DA51CC088E72BC1DB6,电力故障
222,2019/2/6 7:41,3FB71B80486522DE2396E0291D3AC5D2,电力故障
223,2019/2/6 7:42,9FD29DCC76A97094F236AB683A03A2F1,电力故障
224,2019/2/6 8:07,AB42325A39B96494E77D926AA86D2308,电力故障
225,2019/2/6 8:08,443759EFE2CB58ECFC14B9B15589EE15,电力故障
226,2019/2/6 8:08,CDCCC2394BF475E63812B0475BB89247,电力故障
227,2019/2/6 8:10,F899B7F8FDE5DE8FDE5BBF0D45BE7488,电力故障
228,2019/2/6 8:24,D266468ECC437239835109C2692EBC23,电力故障
229,2019/2/6 8:35,0B9351A8CAA861B0BE92453D0A6242E7,传输故障
230,2019/2/6 8:39,B73160A954C83A0E7BA6165B47B25C1C,硬件故障
231,2019/2/6 8:43,E4B141736248ADA8D7499266032D218D,硬件故障
232,2019/2/6 8:47,E55595898B1EDD313A6882147AF40EB8,传输故障
233,2019/2/6 8:52,38F8D18B53477D8D0777B08816C6B5B9,电力故障
234,2019/2/6 8:55,8E9A3AC7AE9A144F823C62A53869811E,电力故障
235,2019/2/6 9:04,96ABCCA9A41E6B5466197BE55D6C7768,电力故障
236,2019/2/6 9:05,4156C6EEDA7C65ABB4B262BAEF3F5583,电力故障
237,2019/2/6 9:16,AE27ECFC97EFB1D74C7F1AE9B9D52BDA,硬件故障
238,2019/2/6 9:38,A4F10288F4BA257B65355C4E6B9462BE,传输故障
239,2019/2/6 9:40,A1F5D05E10F5538D6F15983CD4BBC48A,硬件故障
240,2019/2/6 9:44,E1C89DED6DAD42E94FBDF4760B6FFEBF,传输故障
241,2019/2/6 9:44,E55595898B1EDD313A6882147AF40EB8,传输故障
242,2019/2/6 10:01,534B29BEBBB46B8BBCB6E3F7028FC3BB,电力故障
243,2019/2/6 10:12,45A84E05E45394123A870D84F9467950,电力故障
244,2019/2/6 10:19,5F6736A70AB953C2E4B040713EB90BB7,电力故障
245,2019/2/6 10:21,2F86C4B7DF01828315EF2A2D8EB8841D,软件故障
246,2019/2/6 10:22,6906C3047406040D1EEB68D4DB1F8F23,电力故障
247,2019/2/6 10:26,26393FB114F9E9FD52DDBA2C3925C6A3,电力故障
248,2019/2/6 10:26,110DBAF5C5373457BD855A69BDD5F0BD,电力故障
249,2019/2/6 10:27,4F3E8406F9D4F7B26EEE5EADA7DE3F33,电力故障
250,2019/2/6 10:41,E90878094B13C15B1D125F8404D1C0AC,电力故障
251,2019/2/6 10:59,C8812ADDBCC934ACE19F0DD15DB618D1,动环故障
252,2019/2/6 11:06,2753E16D6E1A4E7354D3CD9B83536FBC,电力故障
253,2019/2/6 11:06,224590BC903CA49250AD1A372D6EC45A,硬件故障
254,2019/2/6 11:07,35F1C21152F5C1FF542BB904679D6699,电力故障
255,2019/2/6 11:07,9EE0D6F439084D0EAA836389B78396E5,电力故障
256,2019/2/6 11:08,156ED4C6D2188B272C02FF8A03ECF5F8,电力故障
257,2019/2/6 11:09,AC4B3C175D1F7BC3A2D8951D08F48B36,电力故障
258,2019/2/6 11:10,5C520701B5FF48BAE9B2D2CC81CCC11B,硬件故障
259,2019/2/6 11:11,F17CCFFCD16F77B00897B460A9922955,硬件故障
260,2019/2/6 11:12,CA477903F615CC6F6A48BA2DC49E4271,电力故障
261,2019/2/6 11:25,96B3E9CD7A50EAB62FF6C11272754164,电力故障
262,2019/2/6 11:27,81D99FDA90C4B6CBAB2AB2B3D06EFBE1,电力故障
263,2019/2/6 11:33,8C3EC48FDCE41903A1F011442A787C56,硬件故障
264,2019/2/6 11:34,5386AF932F6CF4473473E5D9CB9DDAE9,传输故障
265,2019/2/6 11:34,5386AF932F6CF4473473E5D9CB9DDAE9,传输故障
266,2019/2/6 11:34,5386AF932F6CF4473473E5D9CB9DDAE9,传输故障
267,2019/2/6 11:39,7BA98AC16689B016ECF3988EB10DC86F,传输故障
268,2019/2/6 11:44,1D7FF916B1C65854554DE4E539F10BFB,电力故障
269,2019/2/6 11:47,35F1C21152F5C1FF542BB904679D6699,传输故障
270,2019/2/6 11:49,3C82368B29D59EB27CFC809F910E89D8,电力故障
271,2019/2/6 11:58,5A276D90D1BD855B1A9FE3C57A4E21D3,电力故障
272,2019/2/6 11:59,AE21991D6D2E9897B43B6499EF5A2D71,电力故障
273,2019/2/6 12:09,1940996FE6205F38E2298EAFA9769599,电力故障
274,2019/2/6 12:10,1940996FE6205F38E2298EAFA9769599,电力故障
275,2019/2/6 12:13,81347F30044A0F60B56EB85F4731F591,硬件故障
276,2019/2/6 12:22,AE0176492A630373FA53F2DF6A73D81A,硬件故障
277,2019/2/6 12:25,E8A31556E0F322EB9C9FEA976218EBBD,传输故障
278,2019/2/6 12:26,6F827C77949183BB74C33D01CB2259A4,电力故障
279,2019/2/6 12:27,27B09B4DC2F91A8887276959DCC11FB3,电力故障
280,2019/2/6 12:28,EBA756ABEEA10F4C106207967F30F85E,电力故障
281,2019/2/6 12:29,E718FE5AF31CA520DE1421231E11C61A,电力故障
282,2019/2/6 12:35,1D7FF916B1C65854554DE4E539F10BFB,电力故障
283,2019/2/6 12:36,52DA73C91C3A1C9357DDF9B98C4DE60A,硬件故障
284,2019/2/6 12:38,7AC31C77DDF00FC402F420D567C4218F,传输故障
285,2019/2/6 12:38,7AC31C77DDF00FC402F420D567C4218F,传输故障
286,2019/2/6 12:41,0DA558285706F9B1229A334D4097FD73,硬件故障
287,2019/2/6 12:50,D3819F5F4507C66085520B551ECE2A16,电力故障
288,2019/2/6 12:54,E55595898B1EDD313A6882147AF40EB8,传输故障
289,2019/2/6 12:59,A4F10288F4BA257B65355C4E6B9462BE,传输故障
290,2019/2/6 13:01,A10748B08DB6EC20CF363C1FF121B6D4,传输故障
291,2019/2/6 13:02,B81F6881B3F6B516FAAF1FFEEE29C1A0,硬件故障
292,2019/2/6 13:02,E7197C02427B53B5C3E6B5914BCFAA8E,电力故障
293,2019/2/6 13:06,090433BDA7950918236A78245462C091,电力故障
294,2019/2/6 13:09,889220048DB788EF507C823A06A3B790,电力故障
295,2019/2/6 13:09,889220048DB788EF507C823A06A3B790,电力故障
296,2019/2/6 13:14,4FAC1C65E06D7274FBC271D4E8B1CC05,传输故障
297,2019/2/6 13:16,ECBA8635260096F9C76716E4EAF39C71,电力故障
298,2019/2/6 13:27,F5C968BC47374F02C23B494DC570E0DA,电力故障
299,2019/2/6 13:30,C9BBD4441414A690736B4CE8B2310116,传输故障
300,2019/2/6 13:30,C9BBD4441414A690736B4CE8B2310116,传输故障
301,2019/2/6 13:35,A10748B08DB6EC20CF363C1FF121B6D4,传输故障
302,2019/2/6 13:36,A10748B08DB6EC20CF363C1FF121B6D4,传输故障
303,2019/2/6 13:43,17AA5CFA1C5BEAD600AD1C2B27C6D19A,电力故障
304,2019/2/6 13:45,0E9BDC57B6A984D8A79B3FD1BFF8B4DC,电力故障
305,2019/2/6 13:46,0E9BDC57B6A984D8A79B3FD1BFF8B4DC,电力故障
306,2019/2/6 14:11,8F762875BC89B75D029C2723D84A0DE8,电力故障
307,2019/2/6 14:12,8F762875BC89B75D029C2723D84A0DE8,电力故障
308,2019/2/6 14:16,6F688A7B8E2AE0B63B5EA04813AAB723,电力故障
309,2019/2/6 14:21,934EE582FC409FFED5DD87FC058E9CD1,电力故障
310,2019/2/6 14:38,7E1CC0DE414EE60757929A2240837096,硬件故障
311,2019/2/6 14:39,89C445596F3202B50DFC309EF807F6EE,电力故障
312,2019/2/6 14:42,D9AE7A2643734C62C53E75C9314A1D10,电力故障
313,2019/2/6 14:48,05C9D352C3E5481EA2AFA47BC69E2B79,电力故障
314,2019/2/6 14:48,05C9D352C3E5481EA2AFA47BC69E2B79,电力故障
315,2019/2/6 15:01,516956F7A7787848C3D30478C6FD47FA,电力故障
316,2019/2/6 15:01,A3AC1DAE0F760FBEF686BC410B16DE4B,电力故障
317,2019/2/6 15:07,8C3EC48FDCE41903A1F011442A787C56,电力故障
318,2019/2/6 15:08,D9C164A52CD76A23CEABA406FF75B6D7,硬件故障
319,2019/2/6 15:13,DA1DFDA65566BF8CAEF795BC5470B432,硬件故障
320,2019/2/6 15:21,1A9DF460E8357070265EF00F91862835,电力故障
321,2019/2/6 15:22,787CD63366AB257D426A45CC8D109F09,电力故障
322,2019/2/6 15:22,04CEA60A960027E40D9FB7E8E35D546C,电力故障
323,2019/2/6 15:35,B2F2504919FC2221D077F5B9468AF548,传输故障
324,2019/2/6 15:53,2652FF67266A51607AE4BD538762F424,电力故障
325,2019/2/6 15:56,2F2D4217ACDB0D77A4878B7C9A9E1797,传输故障
326,2019/2/6 15:57,3475D3F0603E7187249823A663D1D070,电力故障
327,2019/2/6 15:57,9502954C5E3C922CD10B49998D6F80B4,电力故障
328,2019/2/6 15:58,B94CBF7ED2B511B5254758717E5E74C1,电力故障
329,2019/2/6 15:58,F561A849E77918142B77C28299F755A4,电力故障
330,2019/2/6 16:10,F561A849E77918142B77C28299F755A4,电力故障
331,2019/2/6 16:14,35F1C21152F5C1FF542BB904679D6699,电力故障
332,2019/2/6 16:16,58316E667E0E59D109E830555D660671,电力故障
333,2019/2/6 16:30,DADB1BB83C88AC29B7996BA261556642,电力故障
334,2019/2/6 16:31,2C31A69D9A8A90F1AFF32B08B4CED2C0,电力故障
335,2019/2/6 16:32,A1F17B0D2977BF977B231F8DF881757A,硬件故障
336,2019/2/6 16:58,3068CE5B0397286F521D678BE3BFA82E,电力故障
337,2019/2/6 16:59,909E8E9D3BED94AA2C3C20E47EE5B713,电力故障
